E_A#27 / keV,N_A#27,E_A#36 / keV,N_A#36,E_A#37 / keV,N_A#37,E_A#38 / keV,N_A#38,E_A#39 / keV,N_A#39,E_A#40 / keV,N_A#40,E_A#41 / keV,N_A#41,E_A#43 / keV,N_A#43
587.6,58,587.6,47,587.6,53,587.6,44,587.6,52,587.6,37,587.6,50,587.6,39
590.4,57,590.4,45,590.4,50,590.4,55,590.4,46,590.4,42,590.4,37,590.4,57
593.3,51,593.3,45,593.3,47,593.3,35,593.3,42,593.3,44,593.3,51,593.3,42
596.1,59,596.1,48,596.1,47,596.1,46,596.1,52,596.1,53,596.1,39,596.1,44
598.9,50,598.9,47,598.9,32,598.9,41,598.9,44,598.9,49,598.9,55,598.9,47
601.8,58,601.8,52,601.8,46,601.8,39,601.8,47,601.8,45,601.8,39,601.8,41
604.6,57,604.6,47,604.6,36,604.6,58,604.6,59,604.6,51,604.6,29,604.6,56
607.4,39,607.4,41,607.4,56,607.4,43,607.4,43,607.4,52,607.4,48,607.4,43
610.3,50,610.3,40,610.3,50,610.3,45,610.3,48,610.3,62,610.3,42,610.3,56
613.1,55,613.1,40,613.1,40,613.1,60,613.1,49,613.1,49,613.1,40,613.1,43
615.9,44,615.9,53,615.9,44,615.9,49,615.9,54,615.9,52,615.9,42,615.9,50
618.8,54,618.8,46,618.8,43,618.8,51,618.8,62,618.8,57,618.8,43,618.8,69
621.6,67,621.6,41,621.6,49,621.6,52,621.6,49,621.6,80,621.6,70,621.6,44
624.5,51,624.5,49,624.5,45,624.5,55,624.5,49,624.5,69,624.5,58,624.5,51
627.3,52,627.3,58,627.3,67,627.3,69,627.3,63,627.3,65,627.3,63,627.3,61
630.1,56,630.1,63,630.1,64,630.1,51,630.1,76,630.1,61,630.1,63,630.1,81
633,76,633,63,633,64,633,66,633,84,633,72,633,72,633,64
635.8,66,635.8,81,635.8,65,635.8,94,635.8,101,635.8,89,635.8,75,635.8,74
638.6,81,638.6,77,638.6,84,638.6,111,638.6,91,638.6,90,638.6,76,638.6,94
641.5,130,641.5,92,641.5,112,641.5,83,641.5,93,641.5,102,641.5,99,641.5,92
644.3,103,644.3,88,644.3,112,644.3,92,644.3,92,644.3,123,644.3,119,644.3,110
647.1,114,647.1,108,647.1,123,647.1,121,647.1,110,647.1,129,647.1,126,647.1,131
650,137,650,148,650,125,650,113,650,121,650,138,650,120,650,130
652.8,136,652.8,163,652.8,139,652.8,128,652.8,152,652.8,147,652.8,158,652.8,112
