E_A#3 / keV,N_A#3,E_A#12 / keV,N_A#12,E_A#13 / keV,N_A#13,E_A#14 / keV,N_A#14,E_A#15 / keV,N_A#15,E_A#16 / keV,N_A#16,E_A#17 / keV,N_A#17,E_A#18 / keV,N_A#18
408.9,842,408.9,510,408.9,623,408.9,775,408.9,809,408.9,843,408.9,829,408.9,863
411.7,902,411.7,459,411.7,613,411.7,758,411.7,830,411.7,837,411.7,885,411.7,774
414.6,888,414.6,458,414.6,604,414.6,788,414.6,886,414.6,859,414.6,843,414.6,884
417.4,888,417.4,492,417.4,593,417.4,763,417.4,790,417.4,857,417.4,861,417.4,928
420.2,885,420.2,515,420.2,647,420.2,795,420.2,829,420.2,880,420.2,805,420.2,892
423.1,809,423.1,479,423.1,632,423.1,799,423.1,841,423.1,898,423.1,836,423.1,860
425.9,871,425.9,480,425.9,594,425.9,767,425.9,819,425.9,812,425.9,905,425.9,848
428.7,885,428.7,449,428.7,611,428.7,795,428.7,880,428.7,845,428.7,814,428.7,859
431.6,884,431.6,488,431.6,647,431.6,775,431.6,802,431.6,829,431.6,862,431.6,871
434.4,851,434.4,451,434.4,626,434.4,712,434.4,810,434.4,823,434.4,891,434.4,856
437.3,828,437.3,476,437.3,599,437.3,763,437.3,810,437.3,796,437.3,779,437.3,853
440.1,807,440.1,430,440.1,613,440.1,760,440.1,748,440.1,823,440.1,837,440.1,821
442.9,849,442.9,419,442.9,581,442.9,710,442.9,791,442.9,860,442.9,805,442.9,850
445.8,804,445.8,432,445.8,544,445.8,641,445.8,756,445.8,770,445.8,801,445.8,782
448.6,746,448.6,422,448.6,559,448.6,726,448.6,704,448.6,742,448.6,820,448.6,728
451.4,657,451.4,421,451.4,526,451.4,659,451.4,693,451.4,737,451.4,763,451.4,725
454.3,631,454.3,407,454.3,556,454.3,658,454.3,683,454.3,759,454.3,717,454.3,688
457.1,606,457.1,382,457.1,482,457.1,635,457.1,637,457.1,659,457.1,685,457.1,659
459.9,632,459.9,347,459.9,516,459.9,612,459.9,626,459.9,621,459.9,680,459.9,634
462.8,520,462.8,387,462.8,480,462.8,563,462.8,589,462.8,585,462.8,614,462.8,564
465.6,484,465.6,389,465.6,495,465.6,535,465.6,623,465.6,591,465.6,545,465.6,582
468.5,461,468.5,391,468.5,461,468.5,520,468.5,551,468.5,502,468.5,538,468.5,499
471.3,457,471.3,311,471.3,442,471.3,516,471.3,540,471.3,533,471.3,498,471.3,500
474.1,413,474.1,363,474.1,415,474.1,495,474.1,535,474.1,456,474.1,469,474.1,407
477,352,477,347,477,391,477,465,477,487,477,459,477,467,477,449
479.8,359,479.8,324,479.8,408,479.8,450,479.8,420,479.8,372,479.8,451,479.8,412
482.6,356,482.6,352,482.6,385,482.6,439,482.6,431,482.6,398,482.6,390,482.6,413
485.5,325,485.5,297,485.5,419,485.5,419,485.5,466,485.5,419,485.5,402,485.5,370
488.3,317,488.3,317,488.3,388,488.3,363,488.3,386,488.3,408,488.3,383,488.3,349
491.1,274,491.1,319,491.1,375,491.1,403,491.1,397,491.1,371,491.1,333,491.1,359
494,327,494,328,494,370,494,416,494,349,494,349,494,326,494,351
496.8,262,496.8,324,496.8,395,496.8,392,496.8,394,496.8,357,496.8,344,496.8,346
499.7,317,499.7,294,499.7,396,499.7,406,499.7,378,499.7,343,499.7,343,499.7,320
502.5,255,502.5,299,502.5,356,502.5,386,502.5,389,502.5,347,502.5,297,502.5,329
505.3,252,505.3,313,505.3,359,505.3,380,505.3,393,505.3,319,505.3,331,505.3,290
508.2,242,508.2,316,508.2,364,508.2,385,508.2,360,508.2,348,508.2,323,508.2,298
511,274,511,286,511,383,511,374,511,322,511,298,511,323,511,289
513.8,246,513.8,299,513.8,336,513.8,393,513.8,329,513.8,315,513.8,299,513.8,302
516.7,245,516.7,319,516.7,355,516.7,342,516.7,329,516.7,293,516.7,284,516.7,277
519.5,216,519.5,293,519.5,379,519.5,349,519.5,322,519.5,313,519.5,266,519.5,280
522.3,204,522.3,336,522.3,354,522.3,342,522.3,361,522.3,290,522.3,262,522.3,263
525.2,189,525.2,299,525.2,340,525.2,319,525.2,319,525.2,291,525.2,265,525.2,206
528,213,528,286,528,334,528,312,528,288,528,292,528,259,528,240
530.9,188,530.9,279,530.9,301,530.9,313,530.9,312,530.9,263,530.9,220,530.9,253
533.7,183,533.7,250,533.7,288,533.7,299,533.7,245,533.7,240,533.7,218,533.7,190
536.5,175,536.5,254,536.5,311,536.5,337,536.5,283,536.5,257,536.5,233,536.5,201
539.4,163,539.4,263,539.4,270,539.4,272,539.4,270,539.4,238,539.4,214,539.4,192
542.2,147,542.2,241,542.2,287,542.2,300,542.2,271,542.2,238,542.2,190,542.2,205
545,148,545,253,545,279,545,305,545,255,545,201,545,187,545,185
547.9,132,547.9,239,547.9,271,547.9,272,547.9,237,547.9,220,547.9,206,547.9,176
550.7,138,550.7,245,550.7,249,550.7,258,550.7,218,550.7,186,550.7,196,550.7,175
553.5,114,553.5,247,553.5,255,553.5,265,553.5,237,553.5,211,553.5,174,553.5,150
556.4,108,556.4,216,556.4,303,556.4,284,556.4,237,556.4,210,556.4,175,556.4,156
559.2,138,559.2,209,559.2,272,559.2,260,559.2,224,559.2,173,559.2,177,559.2,141
562.1,115,562.1,203,562.1,255,562.1,277,562.1,209,562.1,187,562.1,170,562.1,150
564.9,108,564.9,208,564.9,252,564.9,262,564.9,214,564.9,205,564.9,177,564.9,129
567.7,119,567.7,217,567.7,235,567.7,254,567.7,230,567.7,198,567.7,171,567.7,141
570.6,140,570.6,218,570.6,241,570.6,256,570.6,228,570.6,188,570.6,159,570.6,153
573.4,123,573.4,226,573.4,245,573.4,234,573.4,221,573.4,197,573.4,158,573.4,127
576.2,113,576.2,218,576.2,246,576.2,287,576.2,212,576.2,197,576.2,165,576.2,148
579.1,122,579.1,211,579.1,255,579.1,256,579.1,233,579.1,170,579.1,149,579.1,133
581.9,107,581.9,245,581.9,247,581.9,258,581.9,247,581.9,152,581.9,149,581.9,121
584.7,113,584.7,200,584.7,239,584.7,276,584.7,202,584.7,175,584.7,148,584.7,123
587.6,101,587.6,223,587.6,261,587.6,255,587.6,196,587.6,162,587.6,148,587.6,128
590.4,115,590.4,230,590.4,251,590.4,232,590.4,218,590.4,189,590.4,150,590.4,133
593.3,110,593.3,194,593.3,230,593.3,254,593.3,195,593.3,174,593.3,174,593.3,120
596.1,88,596.1,220,596.1,215,596.1,236,596.1,206,596.1,192,596.1,169,596.1,110
598.9,111,598.9,199,598.9,219,598.9,226,598.9,199,598.9,135,598.9,153,598.9,137
601.8,113,601.8,200,601.8,243,601.8,235,601.8,207,601.8,162,601.8,135,601.8,129
604.6,121,604.6,195,604.6,211,604.6,230,604.6,199,604.6,172,604.6,175,604.6,118
607.4,169,607.4,216,607.4,236,607.4,242,607.4,231,607.4,168,607.4,163,607.4,149
610.3,177,610.3,215,610.3,280,610.3,262,610.3,242,610.3,191,610.3,187,610.3,171
613.1,244,613.1,250,613.1,258,613.1,268,613.1,221,613.1,203,613.1,181,613.1,160
615.9,291,615.9,214,615.9,248,615.9,293,615.9,223,615.9,216,615.9,220,615.9,196
618.8,387,618.8,218,618.8,263,618.8,297,618.8,301,618.8,267,618.8,257,618.8,216
621.6,448,621.6,242,621.6,282,621.6,354,621.6,349,621.6,299,621.6,309,621.6,296
624.5,667,624.5,252,624.5,312,624.5,378,624.5,413,624.5,411,624.5,394,624.5,368
627.3,860,627.3,288,627.3,357,627.3,466,627.3,476,627.3,447,627.3,477,627.3,453
630.1,998,630.1,303,630.1,403,630.1,484,630.1,589,630.1,555,630.1,560,630.1,570
633,1255,633,391,633,506,633,608,633,726,633,765,633,775,633,755
635.8,1587,635.8,415,635.8,496,635.8,747,635.8,908,635.8,924,635.8,905,635.8,863
638.6,1825,638.6,416,638.6,624,638.6,879,638.6,1025,638.6,1063,638.6,1071,638.6,1173
641.5,2170,641.5,518,641.5,770,641.5,1023,641.5,1306,641.5,1245,641.5,1341,641.5,1451
644.3,2691,644.3,548,644.3,900,644.3,1222,644.3,1563,644.3,1618,644.3,1589,644.3,1659
647.1,2902,647.1,592,647.1,969,647.1,1427,647.1,1756,647.1,1868,647.1,1976,647.1,1953
650,3220,650,663,650,1042,650,1648,650,2066,650,2222,650,2237,650,2365
652.8,3707,652.8,719,652.8,1165,652.8,1814,652.8,2301,652.8,2505,652.8,2558,652.8,2649
655.7,3968,655.7,824,655.7,1285,655.7,2053,655.7,2611,655.7,2775,655.7,2938,655.7,2972
658.5,4166,658.5,861,658.5,1322,658.5,2180,658.5,2723,658.5,3032,658.5,3145,658.5,3291
661.3,4377,661.3,832,661.3,1463,661.3,2422,661.3,3043,661.3,3400,661.3,3330,661.3,3670
664.2,4501,664.2,935,664.2,1516,664.2,2594,664.2,3191,664.2,3424,664.2,3733,664.2,3811
667,4360,667,936,667,1508,667,2723,667,3278,667,3687,667,3950,667,4054
669.8,4187,669.8,877,669.8,1518,669.8,2446,669.8,3309,669.8,3589,669.8,3659,669.8,3993
672.7,3970,672.7,855,672.7,1413,672.7,2553,672.7,3155,672.7,3490,672.7,3750,672.7,3850
675.5,3863,675.5,836,675.5,1463,675.5,2483,675.5,3248,675.5,3518,675.5,3792,675.5,3975
678.3,3745,678.3,837,678.3,1381,678.3,2580,678.3,3285,678.3,3593,678.3,3791,678.3,4027
681.2,3347,681.2,804,681.2,1365,681.2,2255,681.2,3065,681.2,3310,681.2,3697,681.2,3859
684,2885,684,721,684,1269,684,2193,684,2818,684,3083,684,3272,684,3628
686.9,2553,686.9,586,686.9,1094,686.9,1955,686.9,2618,686.9,2846,686.9,3027,686.9,3242
689.7,2189,689.7,529,689.7,981,689.7,1710,689.7,2330,689.7,2558,689.7,2792,689.7,2987
692.5,1794,692.5,478,692.5,832,692.5,1500,692.5,2004,692.5,2186,692.5,2468,692.5,2704
695.4,1446,695.4,374,695.4,703,695.4,1246,695.4,1719,695.4,1907,695.4,2091,695.4,2289
698.2,1203,698.2,309,698.2,591,698.2,1056,698.2,1423,698.2,1671,698.2,1808,698.2,1898
701,931,701,287,701,508,701,845,701,1122,701,1423,701,1543,701,1497
703.9,763,703.9,235,703.9,395,703.9,679,703.9,944,703.9,1047,703.9,1153,703.9,1235
706.7,551,706.7,156,706.7,287,706.7,550,706.7,773,706.7,873,706.7,991,706.7,1020
