E_A#3 / keV,N_A#3,E_A#19 / keV,N_A#19,E_A#20 / keV,N_A#20,E_A#21 / keV,N_A#21,E_A#22 / keV,N_A#22,E_A#23 / keV,N_A#23,E_A#24 / keV,N_A#24,E_A#25 / keV,N_A#25,E_A#26 / keV,N_A#26
530.9,188,530.9,114,530.9,136,530.9,201,530.9,194,530.9,227,530.9,205,530.9,219,530.9,218
533.7,183,533.7,97,533.7,154,533.7,185,533.7,211,533.7,200,533.7,202,533.7,210,533.7,187
536.5,175,536.5,92,536.5,136,536.5,183,536.5,221,536.5,205,536.5,211,536.5,194,536.5,231
539.4,163,539.4,97,539.4,143,539.4,172,539.4,212,539.4,199,539.4,224,539.4,192,539.4,174
542.2,147,542.2,98,542.2,114,542.2,167,542.2,184,542.2,173,542.2,161,542.2,188,542.2,192
545,148,545,90,545,114,545,162,545,167,545,213,545,182,545,181,545,182
547.9,132,547.9,89,547.9,113,547.9,146,547.9,170,547.9,184,547.9,195,547.9,174,547.9,162
550.7,138,550.7,71,550.7,122,550.7,161,550.7,205,550.7,166,550.7,189,550.7,171,550.7,186
553.5,114,553.5,97,553.5,115,553.5,158,553.5,189,553.5,195,553.5,151,553.5,173,553.5,148
556.4,108,556.4,71,556.4,133,556.4,159,556.4,154,556.4,179,556.4,183,556.4,154,556.4,164
559.2,138,559.2,87,559.2,107,559.2,135,559.2,166,559.2,169,559.2,186,559.2,172,559.2,151
562.1,115,562.1,84,562.1,112,562.1,150,562.1,161,562.1,184,562.1,175,562.1,148,562.1,158
564.9,108,564.9,84,564.9,114,564.9,149,564.9,185,564.9,162,564.9,181,564.9,171,564.9,162
567.7,119,567.7,71,567.7,117,567.7,165,567.7,174,567.7,171,567.7,149,567.7,145,567.7,147
570.6,140,570.6,88,570.6,106,570.6,149,570.6,140,570.6,184,570.6,159,570.6,145,570.6,131
573.4,123,573.4,91,573.4,105,573.4,158,573.4,185,573.4,166,573.4,157,573.4,153,573.4,111
576.2,113,576.2,93,576.2,128,576.2,145,576.2,163,576.2,143,576.2,141,576.2,142,576.2,142
579.1,122,579.1,83,579.1,112,579.1,145,579.1,169,579.1,153,579.1,148,579.1,144,579.1,131
581.9,107,581.9,83,581.9,121,581.9,150,581.9,154,581.9,164,581.9,153,581.9,166,581.9,125
584.7,113,584.7,85,584.7,110,584.7,159,584.7,174,584.7,165,584.7,144,584.7,139,584.7,128
587.6,101,587.6,88,587.6,122,587.6,146,587.6,168,587.6,155,587.6,136,587.6,162,587.6,127
590.4,115,590.4,95,590.4,115,590.4,133,590.4,155,590.4,147,590.4,149,590.4,115,590.4,120
593.3,110,593.3,93,593.3,116,593.3,125,593.3,140,593.3,150,593.3,133,593.3,149,593.3,111
596.1,88,596.1,102,596.1,121,596.1,137,596.1,136,596.1,137,596.1,151,596.1,142,596.1,122
598.9,111,598.9,91,598.9,100,598.9,149,598.9,157,598.9,152,598.9,153,598.9,163,598.9,108
601.8,113,601.8,86,601.8,116,601.8,148,601.8,146,601.8,145,601.8,141,601.8,158,601.8,118
604.6,121,604.6,74,604.6,125,604.6,135,604.6,162,604.6,130,604.6,147,604.6,141,604.6,115
607.4,169,607.4,74,607.4,111,607.4,133,607.4,137,607.4,181,607.4,140,607.4,133,607.4,123
610.3,177,610.3,96,610.3,114,610.3,177,610.3,141,610.3,198,610.3,175,610.3,126,610.3,155
613.1,244,613.1,86,613.1,123,613.1,146,613.1,178,613.1,184,613.1,158,613.1,179,613.1,140
615.9,291,615.9,108,615.9,164,615.9,183,615.9,208,615.9,174,615.9,195,615.9,195,615.9,154
